dataset,method,gene,score,essential
CRISPR.RT112,CC2,OLIG2,0,0
CRISPR.RT112,CC2,IL22,3.3306690738754696e-16,0
CRISPR.RT112,CC2,OR9Q2,3.4801050929900157e-12,0
CRISPR.RT112,CC2,RXFP2,0,0
CRISPR.RT112,CC2,LUZP4,3.019806626980426e-14,0
CRISPR.RT112,CC2,KRT74,0,0
CRISPR.RT112,CC2,OC90,8.981482224612591e-12,0
CRISPR.RT112,CC2,NPHS2,4.440892098500626e-16,0
CRISPR.RT112,CC2,FCRL4,6.661338147750939e-16,0
CRISPR.RT112,CC2,LHX5,1.1102230246251565e-16,0
CRISPR.RT112,CC2,FAM71B,0,0
CRISPR.RT112,CC2,CYP7A1,0,0
CRISPR.RT112,CC2,SAGE1,0,0
CRISPR.RT112,CC2,SPATA16,0,0
CRISPR.RT112,CC2,TAAR8,0,0
CRISPR.RT112,CC2,CABP5,0,0
CRISPR.RT112,CC2,ADH7,0,0
CRISPR.RT112,CC2,TGM6,0,0
CRISPR.RT112,CC2,TRIM42,0,0
CRISPR.RT112,CC2,KRT9,0,0
CRISPR.RT112,CC2,TAS2R13,0,0
CRISPR.RT112,CC2,NLRP5,0,0
CRISPR.RT112,CC2,MAGEB3,0,0
CRISPR.RT112,CC2,VN1R2,0,0
CRISPR.RT112,CC2,ABCG8,0,0
CRISPR.RT112,CC2,OR12D2,0,0
CRISPR.RT112,CC2,POU4F2,0,0
CRISPR.RT112,CC2,DEFB129,0,0
CRISPR.RT112,CC2,KRT77,0,0
CRISPR.RT112,CC2,PLA2G2E,0,0
CRISPR.RT112,CC2,TAAR1,0,0
CRISPR.RT112,CC2,TAS2R9,0,0
CRISPR.RT112,CC2,OR52E8,0,0
CRISPR.RT112,HitSelect,PSMB2,1.56937,1
CRISPR.RT112,HitSelect,RPS19,1.65311,1
CRISPR.RT112,HitSelect,RPS13,1.50651,1
CRISPR.RT112,HitSelect,RPL11,1.48414,1
CRISPR.RT112,HitSelect,RPS9,1.8271,1
CRISPR.RT112,HitSelect,NUP93,1.5127,1
CRISPR.RT112,HitSelect,RPS8,1.52692,1
CRISPR.RT112,HitSelect,RPL35A,1.90221,1
CRISPR.RT112,HitSelect,RPL36,1.48916,1
CRISPR.RT112,HitSelect,POLR2A,1.45798,1
CRISPR.RT112,HitSelect,RPL9,1.68513,1
CRISPR.RT112,HitSelect,POLR2D,1.36914,1
CRISPR.RT112,HitSelect,PSMD6,1.0529,1
CRISPR.RT112,HitSelect,COPB1,1.25946,1
CRISPR.RT112,HitSelect,RPL34,1.44695,1
CRISPR.RT112,HitSelect,COPA,1.21204,1
CRISPR.RT112,HitSelect,COPS4,1.17261,1
CRISPR.RT112,HitSelect,PSMD11,1.11733,1
CRISPR.RT112,HitSelect,RPL18A,1.2091,1
CRISPR.RT112,HitSelect,PSMD7,1.07113,1
CRISPR.RT112,HitSelect,PSMC2,1.02222,1
CRISPR.RT112,HitSelect,PSMC1,1.12701,1
CRISPR.RT112,HitSelect,PSMC4,1.0176,1
CRISPR.RT112,HitSelect,COPZ1,0.945186,1
CRISPR.RT112,HitSelect,PSMB3,1.17647,1
CRISPR.RT112,HitSelect,PSMA3,1.12112,1
CRISPR.RT112,HitSelect,RPL30,1.17883,1
CRISPR.RT112,HitSelect,POLA1,1.05581,1
CRISPR.RT112,HitSelect,RPS11,1.0541,1
CRISPR.RT112,HitSelect,RPL5,1.04308,1
CRISPR.RT112,HitSelect,POLR2F,0.970786,1
CRISPR.RT112,HitSelect,NUP133,0.950174,1
CRISPR.RT112,HitSelect,RPS3A,1.05474,1
CRISPR.RT112,HitSelect,NUP98,0.576787,1
CRISPR.RT112,HitSelect,RPL27,1.03227,1
CRISPR.RT112,HitSelect,NUP205,0.865749,1
CRISPR.RT112,HitSelect,COPS6,0.78803,1
CRISPR.RT112,HitSelect,NUP54,0.725479,1
CRISPR.RT112,HitSelect,RPL3,0.647952,1
CRISPR.RT112,HitSelect,COPS2,0.916018,1
CRISPR.RT112,HitSelect,PSMD1,0.688085,1
CRISPR.RT112,HitSelect,COPS8,0.532038,1
CRISPR.RT112,HitSelect,RPS24,0.469086,1
CRISPR.RT112,HitSelect,RPS27,0.481894,1
CRISPR.RT112,HitSelect,RPS7,0.561261,1
CRISPR.RT112,HitSelect,RPL6,0.625811,1
CRISPR.RT112,HitSelect,LYZL6,0.136912,0
CRISPR.RT112,HitSelect,IL1F10,-0.168848,0
CRISPR.RT112,HitSelect,MRGPRD,-0.210239,0
CRISPR.RT112,HitSelect,DMRTC2,-0.224103,0
CRISPR.RT112,HitSelect,DMRTB1,-0.234062,0
CRISPR.RT112,HitSelect,KRT25,-0.248744,0
CRISPR.RT112,HitSelect,HTR3D,-0.262905,0
CRISPR.RT112,HitSelect,PIWIL3,-0.263367,0
CRISPR.RT112,HitSelect,OR9Q2,-0.267796,0
CRISPR.RT112,HitSelect,OC90,-0.277903,0
CRISPR.RT112,HitSelect,TPH2,-0.290083,0
CRISPR.RT112,HitSelect,OTUD6A,-0.290904,0
CRISPR.RT112,HitSelect,RNASE9,-0.294649,0
CRISPR.RT112,HitSelect,KRT9,-0.303464,0
CRISPR.RT112,HitSelect,KRT74,-0.306877,0
CRISPR.RT112,HitSelect,LUZP4,-0.311622,0
CRISPR.RT112,HitSelect,CYP7A1,-0.312009,0
CRISPR.RT112,HitSelect,NPHS2,-0.313878,0
CRISPR.RT112,HitSelect,RPTN,-0.315985,0
CRISPR.RT112,HitSelect,CRYGB,-0.317842,0
CRISPR.RT112,HitSelect,ABCG8,-0.318536,0
CRISPR.RT112,HitSelect,IL22,-0.321716,0
CRISPR.RT112,HitSelect,SPATA16,-0.322267,0
CRISPR.RT112,HitSelect,OR12D2,-0.331159,0
CRISPR.RT112,HitSelect,FCRL4,-0.331239,0
CRISPR.RT112,HitSelect,TAS2R13,-0.33816,0
CRISPR.RT112,HitSelect,CABP5,-0.344392,0
CRISPR.RT112,HitSelect,TRIM42,-0.346215,0
CRISPR.RT112,HitSelect,NPSR1,-0.346919,0
CRISPR.RT112,HitSelect,RXFP2,-0.349175,0
CRISPR.RT112,HitSelect,KRT77,-0.350676,0
CRISPR.RT112,HitSelect,OLIG2,-0.351679,0
CRISPR.RT112,HitSelect,ADH7,-0.352967,0
CRISPR.RT112,HitSelect,DEFB129,-0.361424,0
CRISPR.RT112,HitSelect,TAS2R9,-0.361565,0
CRISPR.RT112,HitSelect,SAGE1,-0.366276,0
CRISPR.RT112,HitSelect,LHX5,-0.366409,0
CRISPR.RT112,HitSelect,TGM6,-0.367664,0
CRISPR.RT112,HitSelect,TAAR8,-0.369915,0
CRISPR.RT112,HitSelect,PLA2G2E,-0.371247,0
CRISPR.RT112,HitSelect,VN1R2,-0.371256,0
CRISPR.RT112,HitSelect,MAGEB3,-0.376039,0
CRISPR.RT112,HitSelect,FAM71B,-0.38265,0
CRISPR.RT112,HitSelect,TAAR1,-0.388947,0
CRISPR.RT112,HitSelect,NLRP5,-0.405354,0
CRISPR.RT112,HitSelect,POU4F2,-0.405379,0
CRISPR.RT112,HitSelect,OR52E8,-0.439313,0
CRISPR.RT112,MAGeCK,PSMD6,0.99999988007,1
CRISPR.RT112,MAGeCK,NUP98,0.999998672,1
CRISPR.RT112,MAGeCK,PSMB2,0.9999981044,1
CRISPR.RT112,MAGeCK,RPS13,0.99998635,1
CRISPR.RT112,MAGeCK,PSMD11,0.999967888,1
CRISPR.RT112,MAGeCK,PSMC4,0.999965957,1
CRISPR.RT112,MAGeCK,RPL3,0.999930423,1
CRISPR.RT112,MAGeCK,RPL11,0.999927448,1
CRISPR.RT112,MAGeCK,PSMC1,0.999921582,1
CRISPR.RT112,MAGeCK,PSMD7,0.999900211,1
CRISPR.RT112,MAGeCK,COPB1,0.99989986,1
CRISPR.RT112,MAGeCK,COPS4,0.99987944,1
CRISPR.RT112,MAGeCK,NUP205,0.9998675,1
CRISPR.RT112,MAGeCK,RPL18A,0.99983511,1
CRISPR.RT112,MAGeCK,POLR2F,0.99981205,1
CRISPR.RT112,MAGeCK,POLR2D,0.99978076,1
CRISPR.RT112,MAGeCK,RPS19,0.99977715,1
CRISPR.RT112,MAGeCK,RPS8,0.99974271,1
CRISPR.RT112,MAGeCK,COPA,0.99964159,1
CRISPR.RT112,MAGeCK,POLR2A,0.99949797,1
CRISPR.RT112,MAGeCK,NUP93,0.99938662,1
CRISPR.RT112,MAGeCK,NUP54,0.99916894,1
CRISPR.RT112,MAGeCK,PSMC2,0.99906376,1
CRISPR.RT112,MAGeCK,COPS6,0.9982813,1
CRISPR.RT112,MAGeCK,RPL36,0.9980841,1
CRISPR.RT112,MAGeCK,POLA1,0.997315,1
CRISPR.RT112,MAGeCK,RPS3A,0.9969732,1
CRISPR.RT112,MAGeCK,RPL35A,0.9947058,1
CRISPR.RT112,MAGeCK,COPZ1,0.9933989,1
CRISPR.RT112,MAGeCK,PSMD1,0.9931515,1
CRISPR.RT112,MAGeCK,RPS9,0.9914481,1
CRISPR.RT112,MAGeCK,RPS27,0.9908918,1
CRISPR.RT112,MAGeCK,NUP133,0.9901141,1
CRISPR.RT112,MAGeCK,RPL34,0.988884,1
CRISPR.RT112,MAGeCK,RPS11,0.988853,1
CRISPR.RT112,MAGeCK,COPS8,0.985671,1
CRISPR.RT112,MAGeCK,RPL9,0.979068,1
CRISPR.RT112,MAGeCK,RPL5,0.974641,1
CRISPR.RT112,MAGeCK,PSMA3,0.963681,1
CRISPR.RT112,MAGeCK,PSMB3,0.961737,1
CRISPR.RT112,MAGeCK,COPS2,0.906107,1
CRISPR.RT112,MAGeCK,RPL30,0.89673,1
CRISPR.RT112,MAGeCK,RPL6,0.89628,1
CRISPR.RT112,MAGeCK,RPS24,0.85697,1
CRISPR.RT112,MAGeCK,RPL27,0.7316400000000001,1
CRISPR.RT112,MAGeCK,RPS7,0.5574,1
CRISPR.RT112,MAGeCK,MRGPRD,0.09950000000000003,0
CRISPR.RT112,MAGeCK,LYZL6,0.09721000000000002,0
CRISPR.RT112,MAGeCK,IL1F10,0.09165999999999996,0
CRISPR.RT112,MAGeCK,KRT25,0.02153000000000005,0
CRISPR.RT112,MAGeCK,CRYGB,0.004809999999999981,0
CRISPR.RT112,MAGeCK,OTUD6A,0.00387000000000004,0
CRISPR.RT112,MAGeCK,PIWIL3,0.003290000000000015,0
CRISPR.RT112,MAGeCK,TPH2,0.003229999999999955,0
CRISPR.RT112,MAGeCK,NPSR1,0.0030000000000000027,0
CRISPR.RT112,MAGeCK,DMRTB1,0.002829999999999999,0
CRISPR.RT112,MAGeCK,RPTN,0.0026800000000000157,0
CRISPR.RT112,MAGeCK,HTR3D,0.0025800000000000267,0
CRISPR.RT112,MAGeCK,DMRTC2,0.0023499999999999632,0
CRISPR.RT112,MAGeCK,OLIG2,0.0022600000000000398,0
CRISPR.RT112,MAGeCK,IL22,0.0021700000000000053,0
CRISPR.RT112,MAGeCK,OR9Q2,0.0018200000000000438,0
CRISPR.RT112,MAGeCK,RXFP2,0.0017899999999999583,0
CRISPR.RT112,MAGeCK,LUZP4,0.0017500000000000293,0
CRISPR.RT112,MAGeCK,KRT74,0.0017200000000000548,0
CRISPR.RT112,MAGeCK,RNASE9,0.0017099999999999893,0
CRISPR.RT112,MAGeCK,OC90,0.0016500000000000403,0
CRISPR.RT112,MAGeCK,NPHS2,0.0016199999999999548,0
CRISPR.RT112,MAGeCK,FCRL4,0.0014100000000000223,0
CRISPR.RT112,MAGeCK,LHX5,0.0011499999999999844,0
CRISPR.RT112,MAGeCK,FAM71B,0.0011299999999999644,0
CRISPR.RT112,MAGeCK,CYP7A1,0.0010200000000000209,0
CRISPR.RT112,MAGeCK,SAGE1,8.599999999999719e-4,0
CRISPR.RT112,MAGeCK,SPATA16,8.299999999999974e-4,0
CRISPR.RT112,MAGeCK,TAAR8,7.899999999999574e-4,0
CRISPR.RT112,MAGeCK,CABP5,5.500000000000504e-4,0
CRISPR.RT112,MAGeCK,ADH7,4.999999999999449e-4,0
CRISPR.RT112,MAGeCK,TRIM42,4.4999999999995044e-4,0
CRISPR.RT112,MAGeCK,KRT9,4.1999999999997595e-4,0
CRISPR.RT112,MAGeCK,TAS2R13,3.9999999999995595e-4,0
CRISPR.RT112,MAGeCK,NLRP5,2.2999999999995246e-4,0
CRISPR.RT112,MAGeCK,MAGEB3,2.1999999999999797e-4,0
CRISPR.RT112,MAGeCK,VN1R2,1.9999999999997797e-4,0
CRISPR.RT112,MAGeCK,ABCG8,1.9999999999997797e-4,0
CRISPR.RT112,MAGeCK,OR12D2,1.9000000000002348e-4,0
CRISPR.RT112,MAGeCK,POU4F2,1.7999999999995797e-4,0
CRISPR.RT112,MAGeCK,DEFB129,1.100000000000545e-4,0
CRISPR.RT112,MAGeCK,KRT77,4.999999999999449e-5,0
CRISPR.RT112,MAGeCK,PLA2G2E,2.999999999997449e-5,0
CRISPR.RT112,MAGeCK,TAAR1,2.999999999997449e-5,0
CRISPR.RT112,MAGeCK,TGM6,2.0000000000020002e-5,0
CRISPR.RT112,MAGeCK,TAS2R9,2.0000000000020002e-5,0
CRISPR.RT112,MAGeCK,OR52E8,0,0
CRISPR.RT112,PBNPA,ABCG8,8.46389283469029e-4,0
CRISPR.RT112,PBNPA,ADH7,1.1275826863599292e-4,0
CRISPR.RT112,PBNPA,CABP5,8.315753622789579e-5,0
CRISPR.RT112,PBNPA,COPA,0.9999446499119402,1
CRISPR.RT112,PBNPA,COPB1,0.9997266668397446,1
CRISPR.RT112,PBNPA,COPS2,0.9587522956977285,1
CRISPR.RT112,PBNPA,COPS4,0.9999478483717104,1
CRISPR.RT112,PBNPA,COPS6,0.9824202558150494,1
CRISPR.RT112,PBNPA,COPS8,0.7499351178973395,1
CRISPR.RT112,PBNPA,COPZ1,0.8971215202056326,1
CRISPR.RT112,PBNPA,CRYGB,6.127448279802383e-5,0
CRISPR.RT112,PBNPA,CYP7A1,0.0066964501204663796,0
CRISPR.RT112,PBNPA,DEFB129,3.2348370260337767e-5,0
CRISPR.RT112,PBNPA,DMRTB1,0.0990876848027642,0
CRISPR.RT112,PBNPA,DMRTC2,0.12276677789762858,0
CRISPR.RT112,PBNPA,FAM71B,1.021367895814862e-6,0
CRISPR.RT112,PBNPA,FCRL4,0.009762135219108181,0
CRISPR.RT112,PBNPA,HTR3D,0.02929488210129161,0
CRISPR.RT112,PBNPA,IL1F10,0.3392859019679042,0
CRISPR.RT112,PBNPA,IL22,0.0015472014702725412,0
CRISPR.RT112,PBNPA,KRT25,0.019293027175135813,0
CRISPR.RT112,PBNPA,KRT74,0.020235355120448495,0
CRISPR.RT112,PBNPA,KRT77,2.1046561312787482e-4,0
CRISPR.RT112,PBNPA,KRT9,0.013979433356041682,0
CRISPR.RT112,PBNPA,LHX5,0.0012541061248714236,0
CRISPR.RT112,PBNPA,LUZP4,4.718583541382104e-4,0
CRISPR.RT112,PBNPA,LYZL6,0.30890651883253883,0
CRISPR.RT112,PBNPA,MAGEB3,5.249071619706225e-5,0
CRISPR.RT112,PBNPA,MRGPRD,0.1889318204304391,0
CRISPR.RT112,PBNPA,NLRP5,5.608097985998484e-9,0
CRISPR.RT112,PBNPA,NPHS2,1.5461278738182482e-4,0
CRISPR.RT112,PBNPA,NPSR1,7.481993464963921e-5,0
CRISPR.RT112,PBNPA,NUP133,0.9955456487694814,1
CRISPR.RT112,PBNPA,NUP205,0.9886594657398459,1
CRISPR.RT112,PBNPA,NUP54,0.9781850027683001,1
CRISPR.RT112,PBNPA,NUP93,0.9999886561487371,1
CRISPR.RT112,PBNPA,NUP98,0.9427715250780675,1
CRISPR.RT112,PBNPA,OC90,0.06879352793152738,0
CRISPR.RT112,PBNPA,OLIG2,2.0273402186976597e-4,0
CRISPR.RT112,PBNPA,OR12D2,0.001103094482927669,0
CRISPR.RT112,PBNPA,OR52E8,1.6576386929756382e-9,0
CRISPR.RT112,PBNPA,OR9Q2,0.004618867317137676,0
CRISPR.RT112,PBNPA,OTUD6A,0.005345357010557827,0
CRISPR.RT112,PBNPA,PIWIL3,0.027388889357243373,0
CRISPR.RT112,PBNPA,PLA2G2E,6.694841979448807e-5,0
CRISPR.RT112,PBNPA,POLA1,0.9905675197332925,1
CRISPR.RT112,PBNPA,POLR2A,0.9982080672349579,1
CRISPR.RT112,PBNPA,POLR2D,0.999995728097208,1
CRISPR.RT112,PBNPA,POLR2F,0.9955727902610182,1
CRISPR.RT112,PBNPA,POU4F2,4.702960538494061e-5,0
CRISPR.RT112,PBNPA,PSMA3,0.9881674073380649,1
CRISPR.RT112,PBNPA,PSMB2,0.9999972938507422,1
CRISPR.RT112,PBNPA,PSMB3,0.9292108251771618,1
CRISPR.RT112,PBNPA,PSMC1,0.9999022539787932,1
CRISPR.RT112,PBNPA,PSMC2,0.9967416137904842,1
CRISPR.RT112,PBNPA,PSMC4,0.9971663086585786,1
CRISPR.RT112,PBNPA,PSMD1,0.9535526511336864,1
CRISPR.RT112,PBNPA,PSMD11,0.9994972510327441,1
CRISPR.RT112,PBNPA,PSMD6,0.9985153253282121,1
CRISPR.RT112,PBNPA,PSMD7,0.9999708440275507,1
CRISPR.RT112,PBNPA,RNASE9,0.010762818346001346,0
CRISPR.RT112,PBNPA,RPL11,0.99999946024431,1
CRISPR.RT112,PBNPA,RPL18A,0.9999601403319769,1
CRISPR.RT112,PBNPA,RPL27,0.7231220696252616,1
CRISPR.RT112,PBNPA,RPL3,0.9261753404125886,1
CRISPR.RT112,PBNPA,RPL30,0.8898109333002102,1
CRISPR.RT112,PBNPA,RPL34,0.99999946024431,1
CRISPR.RT112,PBNPA,RPL35A,0.9999981183786012,1
CRISPR.RT112,PBNPA,RPL36,0.9998276123237835,1
CRISPR.RT112,PBNPA,RPL5,0.9503912595186144,1
CRISPR.RT112,PBNPA,RPL6,0.9985319562928882,1
CRISPR.RT112,PBNPA,RPL9,0.9890785743830567,1
CRISPR.RT112,PBNPA,RPS11,0.9784751458435308,1
CRISPR.RT112,PBNPA,RPS13,0.9999949739145139,1
CRISPR.RT112,PBNPA,RPS19,0.9999985467882347,1
CRISPR.RT112,PBNPA,RPS24,0.7002429797296779,1
CRISPR.RT112,PBNPA,RPS27,0.9501743466277275,1
CRISPR.RT112,PBNPA,RPS3A,0.9968165934222296,1
CRISPR.RT112,PBNPA,RPS7,0.4349782803535204,1
CRISPR.RT112,PBNPA,RPS8,0.9999938689962327,1
CRISPR.RT112,PBNPA,RPS9,0.9999997118886002,1
CRISPR.RT112,PBNPA,RPTN,0.004970312627196716,0
CRISPR.RT112,PBNPA,RXFP2,1.5816735350038247e-4,0
CRISPR.RT112,PBNPA,SAGE1,6.818317698997767e-6,0
CRISPR.RT112,PBNPA,SPATA16,0.004835957988444717,0
CRISPR.RT112,PBNPA,TAAR1,8.502621825501322e-7,0
CRISPR.RT112,PBNPA,TAAR8,3.231447701645962e-6,0
CRISPR.RT112,PBNPA,TAS2R13,6.433723653098689e-5,0
CRISPR.RT112,PBNPA,TAS2R9,1.0650626350816594e-4,0
CRISPR.RT112,PBNPA,TGM6,3.5718325896993974e-7,0
CRISPR.RT112,PBNPA,TPH2,0.003466203619410746,0
CRISPR.RT112,PBNPA,TRIM42,3.9639767311838714e-4,0
CRISPR.RT112,PBNPA,VN1R2,8.46143825228296e-7,0
CRISPR.RT112,PinAPL-py,COPA,151.320763646,1
CRISPR.RT112,PinAPL-py,COPB1,221.048168927,1
CRISPR.RT112,PinAPL-py,COPS4,152.558842063,1
CRISPR.RT112,PinAPL-py,NUP93,151.458749389,1
CRISPR.RT112,PinAPL-py,NUP98,221.048168927,1
CRISPR.RT112,PinAPL-py,POLR2A,152.558842063,1
CRISPR.RT112,PinAPL-py,POLR2D,221.048168927,1
CRISPR.RT112,PinAPL-py,PSMB2,221.048168927,1
CRISPR.RT112,PinAPL-py,PSMC2,221.048168927,1
CRISPR.RT112,PinAPL-py,PSMD11,151.458749389,1
CRISPR.RT112,PinAPL-py,PSMD6,221.048168927,1
CRISPR.RT112,PinAPL-py,PSMD7,152.558842063,1
CRISPR.RT112,PinAPL-py,RPL11,151.320763646,1
CRISPR.RT112,PinAPL-py,RPS13,221.048168927,1
CRISPR.RT112,PinAPL-py,RPS19,221.048168927,1
CRISPR.RT112,PinAPL-py,RPS8,152.558842063,1
CRISPR.RT112,PinAPL-py,RPS9,221.048168927,1
CRISPR.RT112,PinAPL-py,RPL3,83.5904160255,1
CRISPR.RT112,PinAPL-py,RPL36,82.4042885815,1
CRISPR.RT112,PinAPL-py,COPS6,16.153275353,1
CRISPR.RT112,PinAPL-py,COPZ1,14.967147909,1
CRISPR.RT112,PinAPL-py,PSMC4,13.7627971043,1
CRISPR.RT112,PinAPL-py,POLR2F,13.4154701162,1
CRISPR.RT112,PinAPL-py,NUP133,12.6494856117,1
CRISPR.RT112,PinAPL-py,NUP205,12.6494856117,1
CRISPR.RT112,PinAPL-py,NUP54,12.6494856117,1
CRISPR.RT112,PinAPL-py,PSMC1,12.6494856117,1
CRISPR.RT112,PinAPL-py,PSMD1,12.6494856117,1
CRISPR.RT112,PinAPL-py,POLA1,12.3411842521,1
CRISPR.RT112,PinAPL-py,RPL35A,10.4023831377,1
CRISPR.RT112,PinAPL-py,RPL9,9.95609603506,1
CRISPR.RT112,PinAPL-py,PSMA3,9.71337432106,1
CRISPR.RT112,PinAPL-py,COPS8,8.58274670295,1
CRISPR.RT112,PinAPL-py,RPL34,7.27470995305,1
CRISPR.RT112,PinAPL-py,RPS3A,6.61512903853,1
CRISPR.RT112,PinAPL-py,RPL18A,5.16585334323,1
CRISPR.RT112,PinAPL-py,RPS11,5.12624808864,1
CRISPR.RT112,PinAPL-py,PSMB3,5.11336077709,1
CRISPR.RT112,PinAPL-py,RPL5,5.05694981781,1
CRISPR.RT112,PinAPL-py,RPL30,4.46251597622,1
CRISPR.RT112,PinAPL-py,COPS2,3.35355511651,1
CRISPR.RT112,PinAPL-py,RPS24,0.974448453994,1
CRISPR.RT112,PinAPL-py,RPL27,0.530294169724,1
CRISPR.RT112,PinAPL-py,ABCG8,-0,0
CRISPR.RT112,PinAPL-py,ADH7,-0,0
CRISPR.RT112,PinAPL-py,CABP5,-0,0
CRISPR.RT112,PinAPL-py,CRYGB,-0,0
CRISPR.RT112,PinAPL-py,CYP7A1,-0,0
CRISPR.RT112,PinAPL-py,DEFB129,-0,0
CRISPR.RT112,PinAPL-py,DMRTB1,-0,0
CRISPR.RT112,PinAPL-py,DMRTC2,-0,0
CRISPR.RT112,PinAPL-py,FAM71B,-0,0
CRISPR.RT112,PinAPL-py,FCRL4,-0,0
CRISPR.RT112,PinAPL-py,HTR3D,-0,0
CRISPR.RT112,PinAPL-py,IL1F10,-0,0
CRISPR.RT112,PinAPL-py,IL22,-0,0
CRISPR.RT112,PinAPL-py,KRT25,-0,0
CRISPR.RT112,PinAPL-py,KRT74,-0,0
CRISPR.RT112,PinAPL-py,KRT77,-0,0
CRISPR.RT112,PinAPL-py,KRT9,-0,0
CRISPR.RT112,PinAPL-py,LHX5,-0,0
CRISPR.RT112,PinAPL-py,LUZP4,-0,0
CRISPR.RT112,PinAPL-py,LYZL6,-0,0
CRISPR.RT112,PinAPL-py,MAGEB3,-0,0
CRISPR.RT112,PinAPL-py,MRGPRD,-0,0
CRISPR.RT112,PinAPL-py,NLRP5,-0,0
CRISPR.RT112,PinAPL-py,NPHS2,-0,0
CRISPR.RT112,PinAPL-py,NPSR1,-0,0
CRISPR.RT112,PinAPL-py,OC90,-0,0
CRISPR.RT112,PinAPL-py,OLIG2,-0,0
CRISPR.RT112,PinAPL-py,OR12D2,-0,0
CRISPR.RT112,PinAPL-py,OR52E8,-0,0
CRISPR.RT112,PinAPL-py,OR9Q2,-0,0
CRISPR.RT112,PinAPL-py,OTUD6A,-0,0
CRISPR.RT112,PinAPL-py,PIWIL3,-0,0
CRISPR.RT112,PinAPL-py,PLA2G2E,-0,0
CRISPR.RT112,PinAPL-py,POU4F2,-0,0
CRISPR.RT112,PinAPL-py,RNASE9,-0,0
CRISPR.RT112,PinAPL-py,RPL6,-0,1
CRISPR.RT112,PinAPL-py,RPS27,-0,1
CRISPR.RT112,PinAPL-py,RPS7,-0,1
CRISPR.RT112,PinAPL-py,RPTN,-0,0
CRISPR.RT112,PinAPL-py,RXFP2,-0,0
CRISPR.RT112,PinAPL-py,SAGE1,-0,0
CRISPR.RT112,PinAPL-py,SPATA16,-0,0
CRISPR.RT112,PinAPL-py,TAAR1,-0,0
CRISPR.RT112,PinAPL-py,TAAR8,-0,0
CRISPR.RT112,PinAPL-py,TAS2R13,-0,0
CRISPR.RT112,PinAPL-py,TAS2R9,-0,0
